Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+vix_mom+gamma+vega,88.55282592773438,0.00023928992454767237,0.015468998821761943,0.006621766369789839,-0.00020043070253450423,0.0034559816122055054,0.2551118343419696,12.8s,19.14%,-12.33%
3F+vix_mom+gamma+rho,87.77706146240234,0.00023719363209815126,0.015401091912528517,0.0067987521179020405,-0.00013569908333010972,0.0037046223878860474,0.2616374055308036,12.9s,19.84%,0.88%
3F+vix_mom+theta+vega,81.99433135986328,0.0002215673769739459,0.014885139467735797,0.006411637645214796,-0.0004477712791413069,0.0032650306820869446,0.31028054225114976,12.8s,25.12%,6.59%
3F+vix_mom+theta+rho,88.25940704345703,0.00023849703982667107,0.015443349372032969,0.007211899384856224,2.2271926354733296e-05,0.004127636551856995,0.25758001367096284,12.9s,19.40%,-7.64%
3F+vix_mom+vega+rho,92.82434844970703,0.00025083255225354204,0.01583769403207241,0.007198500446975231,-0.0002914419455919415,0.004037812352180481,0.21918066509215062,12.8s,15.24%,-5.17%
3F+gamma+theta+vega,91.07138061523438,0.0002460956335109626,0.01568743553009741,0.007185927592217922,-0.0004247915931046009,0.004024684429168701,0.23392627011376188,12.8s,16.84%,1.89%
3F+gamma+theta+rho,90.1192855834961,0.0002435228556699393,0.015605218860046125,0.007286979351192713,-0.0002678155433386564,0.004156485199928284,0.2419350977744671,12.9s,17.71%,1.05%
3F+gamma+vega+rho,105.12535858154297,0.00028407268609985533,0.016854455971637154,0.008367344737052917,0.00016604879056103528,0.005234867334365845,0.11570709689318992,12.9s,4.00%,-16.65%
3F+theta+vega+rho,92.54752349853516,0.00025008450812299233,0.01581406045653653,0.0071945032104849815,0.00024703305098228157,0.004027649760246277,0.22150925966749568,12.9s,15.49%,11.96%
Total,,,,,,,,1672.5s,,
